name,Super Interesting,Interesting,Hard to Believe,Not Interesting,Hard To Read,Total,Score,value
People who have slept with someone to get back at someone else are more likely to have had sex on a pool table.,1,1,0,0,0,2,3,1.50
People who leave subtle hints about presents they want to receive are more likely to have had an abortion.,1,1,0,0,0,2,3,1.50
People who have had a STD are more likely to have had an abortion.,0,5,0,0,0,5,5,1.00
People who have taken a STD test in the last 12 months are more likely to have a friend with benefits.,0,5,0,0,0,5,5,1.00
People who groom their pubic area are more likely to always practice safe sex.,0,4,0,0,0,4,4,1.00
People who have purposely left a restaurant/bar without paying are more likely to have had an abortion.,0,4,0,0,0,4,4,1.00
People who have slept on the bathroom floor because they drank too much are more likely to have been cheated on.,0,3,0,0,0,3,3,1.00
People who believe the stereotype that women are bad drivers are more likely to have slept with their former teacher.,0,2,0,0,0,2,2,1.00
People who can cross their eyes... are more likely to have kids.,0,2,0,0,0,2,2,1.00
People who do their own laundry are more likely to use an iPhone.,0,2,0,0,0,2,2,1.00
People who groom their pubic area are more likely to have a friend with benefits.,0,2,0,0,0,2,2,1.00
People who have dated someone solely for their money are more likely to have lied about being interested in a sport because their partner was interested in it.,0,2,0,0,0,2,2,1.00
People who have gone to work under the influence of alcohol are more likely to be ambidextrous.,0,2,0,0,0,2,2,1.00
People who have taken a STD test in the last 12 months are more likely to have kissed someone of the same sex.,0,2,0,0,0,2,2,1.00
People who prefer texting are more likely to be able to touch their toes....,0,2,0,0,0,2,2,1.00
People who wipe standing up after a poo are more likely to be male.,0,2,0,0,0,2,2,1.00
People who can cross their eyes... are more likely to own a gun.,0,1,0,0,0,1,1,1.00
People who have dated someone solely for their money are more likely to have a friend with benefits.,0,1,0,0,0,1,1,1.00
People who prefer texting are more likely to believe in a God.,0,1,0,0,0,1,1,1.00
People who want to have sex in a public place are more likely to be female.,0,1,0,0,0,1,1,1.00
People who want to hook up with their partner's friend are more likely to have driven drunk.,0,1,0,0,0,1,1,1.00
People who have been arrested and put in the backseat of a police car are more likely to not own a gun.,1,1,1,0,0,3,2,0.67
People who believe the stereotype that Americans that live in the South are Rednecks are more likely to have fantasized about a celebrity while they were with their partner.,0,3,1,0,0,4,2,0.50
People who believe the stereotype that women are bad drivers are more likely to be female.,0,2,1,0,0,3,1,0.33
People who groom their pubic area are more likely to believe ALL marriages should be treated equally.,0,2,1,0,0,3,1,0.33
People who do not like giving oral sex are more likely to be able to wiggle their ears....,1,1,0,1,0,3,1,0.33
People who have fallen asleep during sex are more likely to think abortion is wrong.,1,1,0,1,0,3,1,0.33
People who have hazel eyes are more likely to have broken up with someone because he/she is not religious enough.,1,1,0,1,0,3,1,0.33
People who do not believe in a God are more likely to prefer talking on the phone.,0,2,0,1,0,3,0,0.00
People who groom their pubic area are more likely to want to sleep with one of their friends.,0,2,0,1,0,3,0,0.00
People who have been fired from a job are more likely to believe in soul mates.,0,2,0,1,0,3,0,0.00
People who have been to the hospital because of drug use are more likely to own a gun.,0,2,0,1,0,3,0,0.00
People who think abortion is wrong are more likely to believe in a God.,0,2,0,1,0,3,0,0.00
People who want to have sex in a public place are more likely to suck their thumb.,0,2,0,1,0,3,0,0.00
People who want to hook up with their partner's friend are more likely to believe chivalry is still alive.,0,2,0,1,0,3,0,0.00
People who have brown eyes are more likely to have stolen anything.,1,0,0,1,0,2,0,0.00
People who have red hair are more likely to be male.,1,0,0,1,0,2,0,0.00
People who prefer texting are more likely to think abortion is wrong.,1,0,0,1,0,2,0,0.00
People who remember exactly what they were doing on 9/11 are more likely to not think abortion is wrong.,1,0,0,1,0,2,0,0.00
People who groom their pubic area are more likely to be able to touch their nose with their tongue....,0,3,0,2,0,5,-1,-0.20
People who have had a STD are more likely to expect their partner to go down on they if they go down on them.,0,2,1,1,0,4,-1,-0.25
Women are more likely to wipe sitting down after a poo.,0,4,0,3,0,7,-2,-0.29
People who prefer texting are more likely to have traded sex for drugs.,0,1,2,0,0,3,-1,-0.33
People who groom their pubic area are more likely to have blue eyes.,0,3,0,3,0,6,-3,-0.50
People who have dated someone solely for their money are more likely to have chosen to spend money on going out over buying something they need.,0,2,0,2,0,4,-2,-0.50
People who want to have sex in a public place are more likely to have slept on the bathroom floor because they drank too much.,0,2,0,2,0,4,-2,-0.50
People who believe the stereotype that Americans that live in the South are Rednecks are more likely to prefer to have a beard.,0,1,0,1,0,2,-1,-0.50
People who do not like giving oral sex are more likely to be able to put their hair in a ponytail....,0,1,0,1,0,2,-1,-0.50
People who have blonde hair are more likely to have green eyes.,0,1,0,1,0,2,-1,-0.50
People who have dated someone solely for their money are more likely to believe the stereotype that women are bad drivers.,0,1,0,1,0,2,-1,-0.50
People who have slept on the bathroom floor because they drank too much are more likely to have stolen anything.,0,1,0,1,0,2,-1,-0.50
People who have taken a STD test in the last 12 months are more likely to have driven drunk.,0,1,0,1,0,2,-1,-0.50
"People who have taken a STD test in the last 12 months are more likely to have nicknamed their own, or their boyfriends, penis.",0,1,0,1,0,2,-1,-0.50
People who believe the stereotype that Americans that live in the South are Rednecks are more likely to have told someone they looked good in something even though they didn't.,0,1,1,1,0,3,-2,-0.67
People who can't snap their fingers on both hands... are more likely to not have kids.,0,1,1,1,0,3,-2,-0.67
People who do their own laundry are more likely to think their best friend wants to sleep with their partner.,0,1,1,1,0,3,-2,-0.67
People who prefer texting are more likely to believe chivalry is dead.,0,1,1,1,0,3,-2,-0.67
People who want to have sex in a public place are more likely to have had an abortion.,0,1,1,1,0,3,-2,-0.67
People who are left-handed are more likely to have not had a STD.,0,2,0,0,1,3,-2,-0.67
People who prefer texting are more likely to have fallen asleep during sex.,0,0,1,0,0,1,-1,-1.00
People who have had a STD are more likely to have kids.,0,1,1,2,0,4,-4,-1.00
People who do their own laundry are more likely to have written a poem for their partner.,0,1,0,2,0,3,-3,-1.00
People who groom their pubic area are more likely to have blacked out from drinking.,0,1,0,2,0,3,-3,-1.00
People who have been fired from a job are more likely to have disturbed other people by making excessive noise while having sex.,0,1,0,2,0,3,-3,-1.00
People who have dated someone solely for their money are more likely to have slept on the bathroom floor because they drank too much.,0,1,0,2,0,3,-3,-1.00
People who have slept on the bathroom floor because they drank too much are more likely to have had sex in a public place.,0,1,0,2,0,3,-3,-1.00
People who think they drink more if they play a drinking game are more likely to have had an orgasm with their current sexual partner.,0,1,0,2,0,3,-3,-1.00
People who prefer texting are more likely to believe in ghosts.,0,2,0,2,1,5,-6,-1.20
People who do not believe there is life after death are more likely to not believe in a God.,0,1,0,3,0,4,-5,-1.25
People who have been to the hospital because of drug use are more likely to want to sleep with one of their friends.,0,1,0,3,0,4,-5,-1.25
People who do not think they drink more if they play a drinking game are more likely to have slept with their former teacher.,0,1,1,0,1,3,-4,-1.33
People who believe the stereotype that Americans that live in the South are Rednecks are more likely to have written a poem for their partner.,0,1,0,4,0,5,-7,-1.40
People who have slept on the bathroom floor because they drank too much are more likely to have dated someone solely for their money.,0,1,0,4,0,5,-7,-1.40
People who groom their pubic area are more likely to have lied about taking a STD test.,0,0,1,1,0,2,-3,-1.50
People who groom their pubic area are more likely to have made a sex tape.,0,0,1,1,0,2,-3,-1.50
People who have blonde hair are more likely to not expect their partner to go down on they if they go down on them.,0,0,1,1,0,2,-3,-1.50
People who have brown eyes are more likely to have broken up with someone because he/she is too religious.,0,0,1,1,0,2,-3,-1.50
People who have dated someone solely for their money are more likely to remember exactly what they were doing on 9/11.,0,0,1,1,0,2,-3,-1.50
People who have thrown up in their mouth and swallowed it back again are more likely to have had an abortion.,0,0,1,1,0,2,-3,-1.50
People who think abortion is wrong are more likely to not remember exactly what they were doing on 9/11.,0,0,1,1,0,2,-3,-1.50
People who have brown eyes are more likely to have not had an orgasm with their current sexual partner.,0,1,1,1,1,4,-6,-1.50
People who have told someone they love them so they could have sex with them are more likely to have stolen anything.,0,1,0,1,1,3,-5,-1.67
People who have exaggerated about any sexual experience are more likely to not expect their partner to go down on they if they go down on them.,1,0,0,1,2,4,-8,-2.00
People who groom their pubic area are more likely to have slept on the bathroom floor because they drank too much.,0,0,0,3,0,3,-6,-2.00
People who have had a threesome are more likely to wipe sitting down after a poo.,0,0,0,3,0,3,-6,-2.00
People who believe the stereotype that women are bad drivers are more likely to have kissed someone of the same sex.,0,0,0,2,0,2,-4,-2.00
People who want to hook up with their partner's friend are more likely to have told someone they looked good in something even though they didn't.,0,0,0,2,0,2,-4,-2.00
People who have slept on the bathroom floor because they drank too much are more likely to have felt pressured to do drugs.,0,0,0,1,0,1,-2,-2.00
People who prefer to have a beard are more likely to have told someone they looked good in something even though they didn't.,0,0,0,1,0,1,-2,-2.00
People who do their own laundry are more likely to contemplate having sex without a condom because they or their partner is on the pill.,0,0,1,2,1,4,-9,-2.25
People who have brown hair are more likely to have blue eyes.,0,0,1,2,1,4,-9,-2.25
People who do not believe in a God are more likely to not believe there is life after death.,0,0,0,2,1,3,-8,-2.67
People who have been fired from a job are more likely to have stolen anything.,0,0,0,2,1,3,-8,-2.67
People who have slept on the bathroom floor because they drank too much are more likely to have not had an orgasm with their current sexual partner.,0,0,1,0,2,3,-9,-3.00
People who do not like giving oral sex are more likely to have not had a STD.,0,0,1,1,3,5,-15,-3.00
